domain,Correct
الموارد البشرية,0.98
المالية,0.9
الأحياء,0.8915094339622641
الحوسبة,0.8492462311557789
الاقتصاد,0.8047138047138047
الفيزياء,0.8041237113402062
علوم الأرض,0.79
الرياضيات,0.755
الرياضة,0.7525252525252525
الإدارة,0.7106598984771574
علم النفس,0.71
السياسة,0.6811594202898551
الكيمياء,0.665
الاجتماع,0.6550868486352357
الهندسة,0.6428571428571429
البلاغة,0.5529411764705883
اللغويات/ واللغة العربية,0.5214899713467048
الأدب والشعر,0.5089605734767025
اقتصاد المملكة,0.44
التاريخ,0.43097643097643096
الدِين,0.35785953177257523
